name,longitude,latitude
guyana_kamuda_agm_region,-60.28449637213702,5.641496099200165
guyana_port_kaituma_agm_region,-60.03400963125348,7.568836862954883
guyana_barama_river_agm_region,-60.02602902548507,7.399709748246213
guyana_barama_river_middle_agm_region,-59.77995749280996,7.333673990587139
guyana_matthews_ridge_agm_region,-60.42590258254847,7.560225429437185
guyana_matthews_ridge_south_agm_region,-60.403432,7.497324000000001
venezuela_reserva_forestal_agm_region,-61.01165736667311,7.720131151453796
venezuela_reserva_forestal_lower_agm_region,-60.49662220117664,7.866806695222903
guyana_cuyuni_river_agm_region,-58.98530861921796,6.55227675106133
guyana_cuyuni_river_aurora_agm_region,-59.61537506577064,6.916186943318895
guyana_cuyuni_river_aurora_upper_agm_region,-59.95832176871728,6.828739282331652
venezuela_chicanan_river_las_claritas_agm_region,-61.46388035574861,6.194744270102429
venezuela_chicanan_trib_cuaicuru_agm_region,-61.85094946271826,6.295541251799897
venezuela_cuyuni_upper_agm_region,-62.40485006216726,6.652130684620412
venezuela_guarento_agm_region,-62.65967003642375,6.657906323414022
venezuela_rio_paragua_agm_region,-63.4959770151513,6.368988959873521
venezuela_raul_leoni_agm_region_TSTM,-62.99,5.3976
venezuela_sucre_bolivar_agm_region,-64.27895967734834,5.865630302942388
colombia_cordoba_agm_region_TSTM,-75.08030550443493,8.181339954939821
colombia_rio_san_pedro_agm_region,-75.719044,7.841004
colombia_atrato_river_bebarama_agm_region_TSTM,-76.61434745418728,6.068935423217691
colombia_rio_quito_quibdo_agm_region,-76.74208221650176,5.608178021156502
colombia_san_juan_river_paito_agm_region,-76.76785879945027,5.11500935973867
colombia_san_juan_river_torra_agm_region,-76.6384204468689,4.85129515476473
colombia_san_juan_river_charco_hondo_agm_region,-76.65065756156301,4.696031910702954
colombia_rio_calima_bajo_agm_region,-76.96225300954755,3.953388221019972
colombia_rio_telembi_agm_region,-78.04284591668248,1.669673781732108
colombia_rio_magui_payan_agm_region,-78.17522020934946,1.767285088773988
colombia_rio_iscuande_upper_agm_region,-77.59316675978963,1.969291851588499
colombia_rio_telembi_diaguillo_agm_region,-78.21900488047547,1.576794350539717
ecuador_el_progreso_agm_region_TSTM,-78.72197084808789,1.024646634805469
ecuador_rio_bogota_santa_rita_agm_region,-78.67546178810977,1.071455912925046
ecuador_tululbi_agm_region,-78.66365699999994,1.107276
ecuador_playa_de_oro_agm_region,-78.8007263526635,0.8581139713739849
ecuador_cinco_de_junio_agm_region,-78.77260596531706,0.9124778763604431
ecuador_rio_rircay_agm_region,-79.30549773969138,-3.32625923396725
ecuador_shaime_agm_region,-78.66250467073066,-4.332400815233275
